acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adobe-source-han-sans-cn-fonts 2.001-1
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
amd-ucode 20200421.78c0348-1
aom 1.0.0.errata1+avif-1
arch-install-scripts 23-2
archlinux-keyring 20200422-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
base 2-2
bash 5.0.017-1
bc 1.07.1-4
bind-tools 9.16.3-1
binutils 2.34-5
bison 3.6.2-1
bluez-libs 5.54-2
broadcom-wl 6.30.223.271-202
brotli 1.0.7-3
btrfs-progs 5.6.1-3
bzip2 1.0.8-3
ca-certificates 20181109-3
ca-certificates-mozilla 3.52.1-2
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
clonezilla 3.35.2-2
colord 1.4.4+9+g1ce26da-2
coreutils 8.32-1
cracklib 2.9.7-2
crda 4.14-3
cryptsetup 2.3.2-2
curl 7.70.0-1
darkhttpd 1.12-5
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-2
dconf 0.36.0-1
ddrescue 1.25-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-2
dhclient 4.4.2-2
dhcpcd 9.0.2-1
dialog 1:1.3_20200327-1
diffutils 3.7-3
ding-libs 0.6.1-3
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-4
dnssec-anchors 20190629-2
dosfstools 4.1-3
double-conversion 3.1.5-2
drbl 2.30.5-1
e2fsprogs 1.45.6-2
ecryptfs-utils 111-3
efibootmgr 17-1
efitools 1.9.2-3
efivar 37-4
elfutils 0.179-1
elinks 0.13-21
enchant 2.2.8-3
ethtool 1:5.6-1
exfat-utils 1.3.0-1
exo 0.12.11-2
expat 2.2.9-3
f2fs-tools 1.13.0-2
fakeroot 1.24-2
fcitx 4.2.9.7-3
fcitx-configtool 0.4.10-3
fcitx-qt5 1.2.4-4
ffmpeg 1:4.2.2-8
file 5.38-3
